Commodity,District
Sheep farming,"Darchula, Baitadi"
Vegetable seeds,Dailekh
Eco-tourism,Humla
Lapsi,"Parbat, Bhakatapur"
Agro-tourism,"Lamjung, Gorkha, Kavre, Mugu, Surkhet"
Lokta,"Baglung, Rolpa"
Coffee,"Gulmi, Sindhupalchok, Dhading"
Arecanut,"Jhapa, Morang"
Xanthoxyllum,Myagdi
Turmeric,"Sunsari, Sarlahi"
Ginger,"Palpa, Salyan, Rukum, Udayapur, Okhaldhunga, Syangja"
Fish,"Dhanusha, Parsa, Jhapa, Morang, Siraha, Bara, Rupandehi, Kapilvastu, Bardiya, Kailali"
Mango,"Saptari, Siraha, Mahottari, Dhanusha, Sarlahi, Kapilvastu"
Banana,"Chitwan, Kanchanpur, Morang, Sunsari, Parsa, Kapilvastu, Kailali"
Jorayal Basmati Rice,Doti
Large cardamom,"Taplejung, Ramechhap"
Kiwi,"Makawanpur, Illam"
Potato,"Khotang, Mahottari, Dolakha, Achham"
Dairy,"Kavre, Rupandehi"
Onion,Nawalparasi
Olive Oil,"Bajhang, Bajura"
Goat farming,"Dhankuta, Udayapur, Terhathum, Dang, Kalikot"
Hot pepper,Panchthar
Lentil,Banke
Orange,"Bhojpur, Tanahun, Darchula, Syangja, Chitwan"
Honey,"Dadeldhura, Baitadi"
Jatamasi,"Dolpa, Jajarkot"
Mushroom,Morang
Butter,Mahottari
Bean,"Jumla, Dolpa"
Apple,Manang
Tomato,Tanahun
Litchi,"Sarlahi, Nawalparasi, Dang"
Marsi Rice,Kalikot
Pineapple,Sindhuli
Fresh Vegetables,"Kapilvastu, Rupandehi, Mustang, Banke"
Walnut,Pyuthan
